"Date","Open","High","Low","Close","Adj.Close","Volume"
2021-08-15,NA,NA,NA,2988.699951,NA,NA
2021-08-16,2980,2984.149902,2960,2971.399902,2894.04248,461742
2021-08-17,2974,3044,2973.100098,3015.300049,2936.800049,2036757
2021-08-18,3048,3048,2992.550049,3001.550049,2923.407959,1375320
2021-08-19,NA,NA,NA,3001.550049,NA,NA
2021-08-20,3001.5,3124.050049,3001.5,3112.949951,3031.907471,3931334
2021-08-21,NA,NA,NA,3112.949951,NA,NA
2021-08-22,NA,NA,NA,3112.949951,NA,NA
2021-08-23,3159.050049,3163.850098,3051,3077.449951,2997.332031,1578949
2021-08-24,3092.800049,3092.800049,3034.550049,3045.949951,2966.6521,763704
2021-08-25,3026,3070,3012.600098,3038.050049,2958.958008,797870
2021-08-26,3064,3084.5,3026.199951,3039.649902,2960.515625,1319516
2021-08-27,3040.449951,3057.949951,3020.5,3036.800049,2957.740234,634375
2021-08-28,NA,NA,NA,3036.800049,NA,NA
2021-08-29,NA,NA,NA,3036.800049,NA,NA
2021-08-30,3056.699951,3114.25,3048.050049,3108.75,3027.817139,1051747
2021-08-31,3108.75,3210,3103.050049,3201.350098,3118.006348,2283290
2021-09-01,3230.050049,3333,3215,3302.75,3216.766113,2423168
2021-09-02,3312.949951,3319,3266.649902,3301.600098,3215.646484,847517
2021-09-03,3301.600098,3344.949951,3286.5,3338.800049,3251.87793,832039
2021-09-04,NA,NA,NA,3338.800049,NA,NA
2021-09-05,NA,NA,NA,3338.800049,NA,NA
2021-09-06,3342,3347.699951,3305.899902,3315.550049,3229.233154,664394
2021-09-07,3333.5,3394.600098,3323.850098,3336.25,3249.394287,1285818
2021-09-08,3345,3361.550049,3297,3336.600098,3249.735352,702598
2021-09-09,3305,3359,3305,3346.350098,3259.231445,591745
2021-09-10,NA,NA,NA,3346.350098,NA,NA
2021-09-11,NA,NA,NA,3346.350098,NA,NA
2021-09-12,NA,NA,NA,3346.350098,NA,NA
2021-09-13,3346.600098,3374,3330.350098,3367.050049,3279.392578,610920
2021-09-14,3384.899902,3388.600098,3356.850098,3362.5,3274.960938,569412
2021-09-15,3361.850098,3383.949951,3346.949951,3352.300049,3265.026611,587855
2021-09-16,3350,3371,3335,3342.100098,3255.091797,516746
2021-09-17,3352,3382,3285.050049,3303.050049,3217.058594,1545695
2021-09-18,NA,NA,NA,3303.050049,NA,NA
2021-09-19,NA,NA,NA,3303.050049,NA,NA
2021-09-20,3299.949951,3315,3265,3271.550049,3186.378906,689288
2021-09-21,3271.550049,3335,3271,3309.199951,3223.04834,922057
2021-09-22,3328.5,3329.949951,3288.25,3317.5,3231.132568,825945
2021-09-23,3340,3340,3315,3320.649902,3234.200195,694716
2021-09-24,3330,3505,3320.850098,3448.600098,3358.81958,2775975
2021-09-25,NA,NA,NA,3448.600098,NA,NA
2021-09-26,NA,NA,NA,3448.600098,NA,NA
2021-09-27,3461.600098,3470,3417.649902,3430.649902,3341.33667,902449
2021-09-28,3424.899902,3429.699951,3350,3379.699951,3291.712646,961271
2021-09-29,3365,3381.699951,3310,3323.050049,3236.537842,973387
2021-09-30,3329.899902,3347.699951,3220,3244.649902,3160.178955,2077896
2021-10-01,3248,3252.949951,3170,3177.850098,3095.118164,1512332
2021-10-02,NA,NA,NA,3177.850098,NA,NA
2021-10-03,NA,NA,NA,3177.850098,NA,NA
2021-10-04,3202.800049,3230.5,3178,3201.600098,3118.25,921241
2021-10-05,3208.550049,3260,3191.649902,3254.75,3170.015869,909337
2021-10-06,3262,3280,3200.649902,3212.25,3128.622559,786378
2021-10-07,3220,3318,3220,3290.850098,3205.176758,1177283
2021-10-08,3307,3329,3264.100098,3306.899902,3220.80835,882436
2021-10-09,NA,NA,NA,3306.899902,NA,NA
2021-10-10,NA,NA,NA,3306.899902,NA,NA
2021-10-11,3326.399902,3344.350098,3297.75,3306.050049,3219.980469,460197
2021-10-12,3280,3335,3280,3323.25,3236.732666,564524
2021-10-13,3343,3358.899902,3291.399902,3323.5,3236.976318,770144
2021-10-14,3342,3352.949951,3290,3297.800049,3211.945068,648597
2021-10-15,NA,NA,NA,3297.800049,NA,NA
2021-10-16,NA,NA,NA,3297.800049,NA,NA
2021-10-17,NA,NA,NA,3297.800049,NA,NA
2021-10-18,3252.5,3283.949951,3232,3241.5,3157.11084,1576121
2021-10-19,3260.899902,3269.100098,3176.100098,3183.75,3100.864258,1042069
2021-10-20,3190,3219.949951,3136.649902,3169.600098,3087.083008,1205540
2021-10-21,3194,3195.449951,2920.449951,3002,2923.846191,5103543
2021-10-22,2975,3002.949951,2912.149902,2982.399902,2904.756348,2855592
2021-10-23,NA,NA,NA,2982.399902,NA,NA
2021-10-24,NA,NA,NA,2982.399902,NA,NA
2021-10-25,2950,2950,2857.25,2918.050049,2842.081787,2161537
2021-10-26,2918.050049,3024,2898,2969.800049,2892.484131,1988263
2021-10-27,3029.199951,3145,3029.199951,3094.649902,3014.083984,4609951
2021-10-28,3103,3147.600098,3062,3116.300049,3038.754639,1791065
2021-10-29,3125,3144.699951,3083.300049,3100.100098,3022.95752,1118903
2021-10-30,NA,NA,NA,3100.100098,NA,NA
2021-10-31,NA,NA,NA,3100.100098,NA,NA
2021-11-01,3128,3142.25,3091.649902,3121.800049,3044.11792,750393
2021-11-02,3120,3139.800049,3080,3103.350098,3026.126953,881916
2021-11-03,3102.100098,3182.899902,3095,3170.649902,3091.751953,879227
2021-11-04,3179,3190,3145,3159.25,3080.635742,263595
2021-11-05,NA,NA,NA,3159.25,NA,NA
2021-11-06,NA,NA,NA,3159.25,NA,NA
2021-11-07,NA,NA,NA,3159.25,NA,NA
2021-11-08,3165,3181,3095.149902,3138,3059.914795,787824
2021-11-09,3140,3155,3120,3145.149902,3066.886475,668840
2021-11-10,3132,3136.649902,3080.5,3108.300049,3030.953613,872975
2021-11-11,3090,3106.649902,3052,3063.5,2987.268555,958143
2021-11-12,3089,3128,3075.800049,3122.899902,3045.19043,682344
2021-11-13,NA,NA,NA,3122.899902,NA,NA
2021-11-14,NA,NA,NA,3122.899902,NA,NA
2021-11-15,3126,3180,3126,3168.699951,3089.850586,696377
2021-11-16,3165,3209,3120.100098,3151.699951,3073.273438,1400107
2021-11-17,3170,3239.899902,3165.050049,3230.25,3149.868896,1616452
2021-11-18,3249.850098,3260,3214,3226.850098,3146.553711,1609821
2021-11-19,NA,NA,NA,3226.850098,NA,NA
2021-11-20,NA,NA,NA,3226.850098,NA,NA
2021-11-21,NA,NA,NA,3226.850098,NA,NA
2021-11-22,3241,3308.350098,3215.050049,3261.25,3180.097656,2146970
2021-11-23,3261.25,3288.300049,3171.550049,3185.550049,3106.281494,1482618
2021-11-24,3186.050049,3208.899902,3150,3157,3078.44165,1056213
2021-11-25,3156.5,3173.350098,3113,3144.25,3066.008789,728825
2021-11-26,3101,3167.350098,3091,3143.100098,3064.887695,1029110
2021-11-27,NA,NA,NA,3143.100098,NA,NA
2021-11-28,NA,NA,NA,3143.100098,NA,NA
2021-11-29,3131,3178.899902,3071.899902,3144.300049,3066.057861,876651
2021-11-30,3116.149902,3189,3116.149902,3143.649902,3065.423828,2340489
2021-12-01,3155.899902,3199.75,3124.100098,3138.149902,3060.060791,1741820
2021-12-02,3160,3194,3152.25,3180.600098,3101.45459,939320
2021-12-03,3185,3187.449951,3106,3110.449951,3033.050049,1216263
2021-12-04,NA,NA,NA,3110.449951,NA,NA
2021-12-05,NA,NA,NA,3110.449951,NA,NA
2021-12-06,3115,3115,3028.25,3038.300049,2962.695557,1107363
2021-12-07,3040,3069,3016.449951,3030.350098,2954.943359,2056459
2021-12-08,3031.899902,3123,3031,3108.5,3031.148682,1171484
2021-12-09,3152.399902,3183.050049,3111,3178.699951,3099.601563,1287243
2021-12-10,3184,3292,3178.699951,3283.149902,3201.452393,2554394
2021-12-11,NA,NA,NA,3283.149902,NA,NA
2021-12-12,NA,NA,NA,3283.149902,NA,NA
2021-12-13,3285.100098,3341,3270.949951,3279.850098,3198.234863,1265832
2021-12-14,3274,3305,3249,3297.5,3215.445557,863179
2021-12-15,3278.149902,3313.949951,3266.5,3301.949951,3219.784912,811946
2021-12-16,3325,3325,3270.600098,3298.600098,3216.518066,502930
2021-12-17,3275,3293.300049,3227.699951,3243.699951,3162.984375,1019403
2021-12-18,NA,NA,NA,3243.699951,NA,NA
2021-12-19,NA,NA,NA,3243.699951,NA,NA
2021-12-20,3227,3275,3181,3239.449951,3158.840088,948872
2021-12-21,3247,3296,3240,3271.350098,3189.946289,712026
2021-12-22,3275.699951,3285.649902,3241,3280.100098,3198.478516,619865
2021-12-23,3290,3307.899902,3250,3267.899902,3186.582275,1051596
2021-12-24,3280,3300,3261,3284.800049,3203.061523,651404
2021-12-25,NA,NA,NA,3284.800049,NA,NA
2021-12-26,NA,NA,NA,3284.800049,NA,NA
2021-12-27,3280.100098,3284.75,3226.199951,3272.399902,3190.970215,640701
2021-12-28,3275.949951,3375,3273,3368.199951,3284.38623,1211648
2021-12-29,3372.199951,3386,3346.199951,3367.449951,3283.654785,598421
2021-12-30,3363.25,3390,3350.300049,3365.699951,3281.948486,691223
2021-12-31,3390,3405,3361.399902,3382.949951,3298.769043,570671
2022-01-01,NA,NA,NA,3382.949951,NA,NA
2022-01-02,NA,NA,NA,3382.949951,NA,NA
2022-01-03,3383,3440.899902,3383,3422.399902,3337.237549,696276
2022-01-04,3434,3472.449951,3415.050049,3459.300049,3373.219727,790886
2022-01-05,3470,3540,3452.050049,3526.800049,3439.039795,1024506
2022-01-06,3491.149902,3537.550049,3452.149902,3514.649902,3427.19165,1312743
2022-01-07,3514.649902,3582,3496.550049,3576.300049,3487.308105,964364
2022-01-08,NA,NA,NA,3576.300049,NA,NA
2022-01-09,NA,NA,NA,3576.300049,NA,NA
2022-01-10,3580,3590,3527,3553.5,3465.075439,657511
2022-01-11,3550.600098,3564,3495.050049,3538.75,3450.692139,734344
2022-01-12,3556.899902,3582.449951,3534,3543.800049,3455.616455,594543
2022-01-13,3560,3560,3450,3456.25,3370.245361,1153984
2022-01-14,3462,3462,3346,3364.399902,3280.680664,1558978
2022-01-15,NA,NA,NA,3364.399902,NA,NA
2022-01-16,NA,NA,NA,3364.399902,NA,NA
2022-01-17,3364.399902,3399,3321,3378.649902,3294.576416,1103159
2022-01-18,3379.050049,3396.449951,3351,3373.699951,3289.749512,558543
2022-01-19,3370,3370,3267.75,3280.399902,3198.77124,1495218
2022-01-20,3282,3364.899902,3222,3306.399902,3224.124023,3075678
2022-01-21,3300.050049,3324.949951,3241.75,3274.850098,3193.359131,1441694
2022-01-22,NA,NA,NA,3274.850098,NA,NA
2022-01-23,NA,NA,NA,3274.850098,NA,NA
2022-01-24,3268,3270,3135,3155.149902,3076.637939,1575665
2022-01-25,3100,3156.949951,3010.75,3147.100098,3068.78833,2699779
2022-01-26,NA,NA,NA,3147.100098,NA,NA
2022-01-27,3140.100098,3143,3071.25,3116.949951,3039.388428,1834684
2022-01-28,3130,3170,3103,3110.850098,3033.44043,892060
2022-01-29,NA,NA,NA,3110.850098,NA,NA
2022-01-30,NA,NA,NA,3110.850098,NA,NA
2022-01-31,3140,3193.449951,3136.399902,3152.25,3073.810059,944530
2022-02-01,3194,3212.350098,3141.600098,3196.25,3116.715088,1008915
2022-02-02,3204.800049,3244.149902,3192.149902,3197.699951,3118.128906,667265
2022-02-03,3212.850098,3241.600098,3190.199951,3203,3123.297363,899753
2022-02-04,3188,3248.800049,3176.050049,3236.649902,3156.109619,705765
2022-02-05,NA,NA,NA,3236.649902,NA,NA
2022-02-06,NA,NA,NA,3236.649902,NA,NA
2022-02-07,3234,3251.199951,3143.100098,3174.699951,3095.701172,860393
2022-02-08,3179,3223.5,3166.199951,3216.350098,3136.315186,799206
2022-02-09,3230,3259,3222.75,3228.350098,3148.016357,472725
2022-02-10,3220,3248,3176,3238.75,3158.157715,728666
2022-02-11,3229.949951,3229.949951,3182.5,3216.300049,3136.266357,587840
2022-02-12,NA,NA,NA,3216.300049,NA,NA
2022-02-13,NA,NA,NA,3216.300049,NA,NA
2022-02-14,3140,3182.699951,3120,3143.449951,3065.229004,681236
2022-02-15,3140,3270,3132.850098,3264.600098,3183.364258,676844
2022-02-16,3280,3285.100098,3223,3252.850098,3171.906738,624320
2022-02-17,3273,3294.949951,3236.399902,3265.850098,3184.583252,636735
2022-02-18,3236.149902,3272,3230.050049,3258.449951,3177.367432,423801
2022-02-19,NA,NA,NA,3258.449951,NA,NA
2022-02-20,NA,NA,NA,3258.449951,NA,NA
2022-02-21,3235,3278.449951,3204.149902,3251.649902,3170.736572,547472
2022-02-22,3120,3236.800049,3120,3227.149902,3146.845947,1147209
2022-02-23,3236.899902,3296.899902,3230,3237.199951,3156.645996,935896
2022-02-24,3130,3197.800049,3051.5,3069.050049,2992.68042,1823450
2022-02-25,3105,3141.449951,3083.050049,3119.199951,3041.582031,1239456
2022-02-26,NA,NA,NA,3119.199951,NA,NA
2022-02-27,NA,NA,NA,3119.199951,NA,NA
2022-02-28,3090,3190.5,3015,3174.649902,3095.652344,1678348
2022-03-01,NA,NA,NA,3174.649902,NA,NA
2022-03-02,3107,3111.199951,2991.100098,3028.949951,2953.578125,3014206
2022-03-03,3029,3051,2862,2871.899902,2800.436035,4406840
2022-03-04,2863.800049,2863.800049,2662.050049,2738.149902,2670.014404,6979253
2022-03-05,NA,NA,NA,2738.149902,NA,NA
2022-03-06,NA,NA,NA,2738.149902,NA,NA
2022-03-07,2649.899902,2727.949951,2599.350098,2708.449951,2641.053467,3233760
2022-03-08,2690,2736.949951,2638,2723.399902,2655.631348,2611102
2022-03-09,2750,2890,2665.050049,2874.949951,2803.410156,4076068
2022-03-10,3000,3040,2891.199951,2912.800049,2840.318359,3971987
2022-03-11,2917,2939.949951,2882.350098,2932,2859.040283,1265493
2022-03-12,NA,NA,NA,2932,NA,NA
2022-03-13,NA,NA,NA,2932,NA,NA
2022-03-14,2950,2972.350098,2917.300049,2962.800049,2889.073975,1214217
2022-03-15,2998,3032,2966,2987.149902,2912.818359,1857685
2022-03-16,3043,3050,3010.75,3042,2966.302979,1287234
2022-03-17,3113.5,3163.300049,3076.5,3136.600098,3058.549561,2867519
2022-03-18,NA,NA,NA,3136.600098,NA,NA
2022-03-19,NA,NA,NA,3136.600098,NA,NA
2022-03-20,NA,NA,NA,3136.600098,NA,NA
2022-03-21,3117.300049,3117.300049,3030.100098,3045.75,2969.960205,1259015
2022-03-22,3024,3062.699951,2975,3051.149902,2975.225586,1515772
2022-03-23,3060,3079.899902,3005,3016.800049,2941.730469,948403
2022-03-24,2969.5,3038.949951,2950.550049,3025.350098,2950.067871,1243917
2022-03-25,3025.350098,3064.550049,2991,3046.949951,2971.130127,1083275
2022-03-26,NA,NA,NA,3046.949951,NA,NA
2022-03-27,NA,NA,NA,3046.949951,NA,NA
2022-03-28,3046.949951,3058.600098,2995.649902,3027.449951,2952.115479,680332
2022-03-29,3069,3087.699951,3012.699951,3042.600098,2966.888428,1120936
2022-03-30,3078,3094.350098,3055.899902,3081.550049,3004.869141,849545
2022-03-31,3115,3129.25,3066.100098,3079.949951,3003.309082,1464862
2022-04-01,3110,3121,3087.649902,3114.149902,3036.657959,637392
2022-04-02,NA,NA,NA,3114.149902,NA,NA
2022-04-03,NA,NA,NA,3114.149902,NA,NA
2022-04-04,3124.949951,3143,3093.5,3118,3040.412109,873264
2022-04-05,3110,3157,3080,3140.800049,3062.644775,805874
2022-04-06,3137,3165,3113,3154,3075.516357,736379
2022-04-07,3154,3208.949951,3145.5,3155,3076.491943,1025244
2022-04-08,3168,3220,3151.199951,3206.25,3126.466309,678898
2022-04-09,NA,NA,NA,3206.25,NA,NA
2022-04-10,NA,NA,NA,3206.25,NA,NA
2022-04-11,3184,3222,3150,3157.449951,3078.880615,672652
2022-04-12,3154.699951,3162.100098,3114.149902,3128.649902,3050.797119,794265
2022-04-13,3117.199951,3121.899902,3066.100098,3080.649902,3003.991455,1121350
2022-04-14,NA,NA,NA,3080.649902,NA,NA
2022-04-15,NA,NA,NA,3080.649902,NA,NA
2022-04-16,NA,NA,NA,3080.649902,NA,NA
2022-04-17,NA,NA,NA,3080.649902,NA,NA
2022-04-18,3056,3058,3013,3021.550049,2946.362549,1032504
2022-04-19,3030,3059.199951,2970,2991.199951,2916.767822,749782
2022-04-20,2991.300049,3089.5,2980,3083,3006.282959,838182
2022-04-21,3089.800049,3174.399902,3086.050049,3158.25,3079.6604,1069035
2022-04-22,3121.5,3173.300049,3113.25,3164.399902,3085.657227,681191
2022-04-23,NA,NA,NA,3164.399902,NA,NA
2022-04-24,NA,NA,NA,3164.399902,NA,NA
